pais,iso3,anio,pib_per_capita
Sub-Saharan Africa (excluding high income),SSA,2022,1863.26040059117
Sub-Saharan Africa (IDA & IBRD countries),TSS,2022,1864.70686111924
Upper middle income,,2022,9796.27244734764
World,WLD,2022,12876.2377124072
Afghanistan,AFG,2022,357.261152798144
Albania,ALB,2022,7756.96188744253
Algeria,DZA,2022,4960.30334332888
American Samoa,ASM,2022,18017.4589383973
Andorra,AND,2022,42414.0590111349
Angola,AGO,2022,3598.53669077341
Antigua and Barbuda,ATG,2022,20003.3909394099
Argentina,ARG,2022,13962.1894087223
Armenia,ARM,2022,6571.97445545099
Aruba,ABW,2022,31000.5713798732
Australia,AUS,2022,65169.5191118657
Austria,AUT,2022,52336.7725223758
Azerbaijan,AZE,2022,7770.594223351
"Bahamas, The",BHS,2022,34957.1613279737
Bahrain,BHR,2022,30470.5219276023
Bangladesh,BGD,2022,2716.48592780431
Barbados,BRB,2022,24393.2193483944
Belarus,BLR,2022,7994.64806074889
Belgium,BEL,2022,50639.0264882739
Belize,BLZ,2022,7068.21728043145
Benin,BEN,2022,1266.42711031904
Bermuda,BMU,2022,119969.173269085
Bhutan,BTN,2022,3711.32767981591
Bolivia,BOL,2022,4219.46113742445
Bosnia and Herzegovina,BIH,2022,7655.59421024383
Botswana,BWA,2022,8328.7090572666
Brazil,BRA,2022,9281.33334441234
British Virgin Islands,VGB,2022,
Brunei Darussalam,BRN,2022,36632.9280952155
Bulgaria,BGR,2022,13999.9113358453
Burkina Faso,BFA,2022,827.330843486661
Burundi,BDI,2022,301.832255755105
Cabo Verde,CPV,2022,4323.31362032709
Cambodia,KHM,2022,2325.03050040841
Cameroon,CMR,2022,1604.87726954895
Canada,CAN,2022,56496.9275340663
Cayman Islands,CYM,2022,92937.8838323153
Central African Republic,CAF,2022,467.359825026238
Chad,TCD,2022,966.036468278568
Channel Islands,CHI,2022,67627.1417347907
Chile,CHL,2022,15399.1044717559
China,CHN,2022,12970.6056414327
Colombia,COL,2022,6680.44506854481
Comoros,COM,2022,1533.87755393614
"Congo, Dem. Rep.",COD,2022,687.738587554685
"Congo, Rep.",COG,2022,2620.83804267402
Costa Rica,CRI,2022,13971.7649991294
Cote d'Ivoire,CIV,2022,2333.37128301259
Croatia,HRV,2022,18465.531473659
Cuba,CUB,2022,
Curacao,CUW,2022,20057.1404960105
Cyprus,CYP,2022,33231.05078125
Czechia,CZE,2022,28282.2236715857
Denmark,DNK,2022,67781.0940939514
Djibouti,DJI,2022,3133.25779772463
Dominica,DMA,2022,9323.66089490562
Dominican Republic,DOM,2022,10104.2464008585
Ecuador,ECU,2022,6515.58528418336
"Egypt, Arab Rep.",EGY,2022,4233.30783744856
El Salvador,SLV,2022,5074.60050994225
Equatorial Guinea,GNQ,2022,7589.29964909381
Eritrea,ERI,2022,
Estonia,EST,2022,28340.3826549406
Eswatini,SWZ,2022,3894.1620089869
Ethiopia,ETH,2022,982.103161502198
Faroe Islands,FRO,2022,67069.3987440509
Fiji,FJI,2022,5414.12092119088
Finland,FIN,2022,50440.560224974
France,FRA,2022,40988.6396406579
French Polynesia,PYF,2022,20053.9569369322
Gabon,GAB,2022,8409.20741452279
"Gambia, The",GMB,2022,836.244875868476
Georgia,GEO,2022,6729.84659930283
Germany,DEU,2022,50506.5179638543
Ghana,GHA,2022,2229.89122654479
Gibraltar,GIB,2022,
Greece,GRC,2022,20884.6773436263
Greenland,GRL,2022,55635.0006491223
Grenada,GRD,2022,10469.3867012856
Guam,GUM,2022,41833.1517132825
Guatemala,GTM,2022,5356.92435887895
Guinea,GIN,2022,1416.59612011764
Guinea-Bissau,GNB,2022,881.602654162231
Guyana,GUY,2022,17913.4928066879
Haiti,HTI,2022,1748.40890116803
Honduras,HND,2022,3003.28996826399
"Hong Kong SAR, China",HKG,2022,48825.0272275805
Hungary,HUN,2022,18428.028825614
Iceland,ISL,2022,76376.9599334915
India,IND,2022,2279.98145719369
Indonesia,IDN,2022,4730.83484836107
"Iran, Islamic Rep.",IRN,2022,4721.20437099984
Iraq,IRQ,2022,6520.73154560584
Ireland,IRL,2022,105190.685952731
Isle of Man,IMN,2022,88328.548125887
Israel,ISR,2022,54947.2091250715
Italy,ITA,2022,35653.9042103495
Jamaica,JAM,2022,6626.47502388538
Japan,JPN,2022,35548.2645222433
Jordan,JOR,2022,4754.41362207378
Kazakhstan,KAZ,2022,11255.3396437881
Kenya,KEN,2022,2109.56288513137
Kiribati,KIR,2022,2078.7648751855
"Korea, Dem. People's Rep.",PRK,2022,
"Korea, Rep.",KOR,2022,34822.4048404971
Kosovo,XKX,2022,5298.1473871027
Kuwait,KWT,2022,39981.7691035833
Kyrgyz Republic,KGZ,2022,1739.72018344174
Lao PDR,LAO,2022,2046.40440255621
Latvia,LVA,2022,20221.103686109
Lebanon,LBN,2022,3654.35845534878
Lesotho,LSO,2022,1030.12582947757
Liberia,LBR,2022,744.617175237387
Libya,LBY,2022,5986.63694851258
Liechtenstein,LIE,2022,188055.003235348
Lithuania,LTU,2022,24946.5724005188
Luxembourg,LUX,2022,123719.658915996
"Macao SAR, China",MAC,2022,36806.891255461
Madagascar,MDG,2022,504.059106969168
Malawi,MWI,2022,604.269740360317
Malaysia,MYS,2022,11754.5678336248
Maldives,MDV,2022,11786.0191492983
Mali,MLI,2022,976.914116406452
Malta,MLT,2022,35658.8318250199
Marshall Islands,MHL,2022,6455.6603538189
Mauritania,MRT,2022,1961.28166648869
Mauritius,MUS,2022,10246.5017455553
Mexico,MEX,2022,11405.7940469896
"Micronesia, Fed. Sts.",FSM,2022,3703.66680343222
Moldova,MDA,2022,5744.29618434435
Monaco,MCO,2022,226052.060664649
Mongolia,MNG,2022,4993.51487463495
Montenegro,MNE,2022,10038.1849482517
Morocco,MAR,2022,3463.1376953125
Mozambique,MOZ,2022,578.273222184503
